timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1513481665585563,0,0,-2,-1,-3,-2,-2,-2
1513481665585563,-2,-1,-1,0,-5,1,1,0
1513481665586564,-2,-2,-2,0,-1,-1,-2,-2
1513481665586564,0,-2,-2,0,0,-1,-2,-2
1513481665609582,-2,-1,-3,-2,0,0,-2,0
1513481665609582,-4,-1,0,-1,-1,-2,3,-3
1513481665609582,0,1,-1,-1,-1,-2,-2,-2
1513481665609582,-1,-3,-2,-1,1,-2,-2,2
1513481665631599,-1,-2,-1,-1,-2,-1,-1,0
1513481665631599,-4,0,-1,0,-5,1,-1,-2
1513481665632597,-3,-3,1,-1,-2,1,-1,-3
1513481665632597,-1,-1,-1,-2,2,-1,-2,-3
1513481665645610,0,-2,-1,0,-3,-1,2,-3
1513481665645610,0,-1,0,-2,-4,0,1,2
1513481665646613,-1,-1,0,0,-1,-2,-2,0
1513481665646613,-1,-1,-3,-1,0,0,-2,-3
1513481665668632,-1,-2,-1,0,0,-1,-1,-1
1513481665668632,-5,-1,-1,0,-4,-3,5,-3
1513481665669623,-3,-1,-2,0,-2,-2,1,0
1513481665669623,0,-4,1,-2,3,-1,-4,-2
1513481665691644,-2,-1,-1,-2,-1,-1,-2,-2
1513481665691644,-5,1,0,-2,-3,-1,2,-2
1513481665692641,-1,0,-1,-1,-1,0,0,0
1513481665692641,-3,0,-2,-2,1,-2,-3,0
1513481665705647,0,-1,-1,-2,-3,-3,0,-2
1513481665705647,1,-1,0,0,-3,-1,3,-2
1513481665706648,1,1,-1,0,-2,-2,1,1
1513481665706648,1,-2,-2,-2,1,0,-2,-3
1513481665728665,-1,0,0,-1,-2,0,-3,-1
1513481665728665,-1,-2,-1,1,-3,-1,0,-2
1513481665729667,0,-1,-1,0,-1,2,0,0
1513481665729667,4,-1,0,0,1,-2,-4,-1
1513481665751680,-1,-1,-2,-2,0,-2,0,-1
1513481665751680,-3,0,0,1,-4,0,3,0
1513481665752693,-1,-3,1,-1,1,-1,-2,-2
1513481665752693,-1,-1,-2,-3,2,1,-3,-2
1513481665765700,-4,-1,-1,-2,-4,0,1,0
1513481665765700,-3,1,-1,-1,-4,1,-1,-1
1513481665766691,-1,-1,-2,0,-1,-2,-3,-2
1513481665766691,-1,-3,0,0,-1,-2,-4,2
1513481665788765,-4,-2,-2,-3,-1,0,-1,0
1513481665788765,-1,-1,-1,-2,0,-1,2,0
1513481665789743,-1,0,-2,-1,-2,-3,1,0
1513481665789743,2,-4,-2,-2,1,1,-3,0
1513481665811760,-1,-2,-2,-2,0,-2,0,-2
1513481665811760,-3,1,0,0,-4,0,1,-1
1513481665812759,-1,1,0,-3,-1,-2,-1,-2
1513481665812759,0,0,-4,-1,1,-2,-2,1
1513481665825769,1,-1,-1,-2,-4,-2,2,-1
1513481665825769,-3,-1,0,0,-4,-1,-2,-2
1513481665827787,-2,-1,-1,-1,-1,0,-4,0
1513481665827787,-1,-2,-2,-2,-1,-2,1,0
1513481665848795,1,0,0,-1,0,-1,-3,-3
1513481665848795,-2,1,-1,-1,-4,-2,0,-1
1513481665849785,2,-1,-1,-1,0,-1,-1,-1
1513481665849785,0,-1,0,-3,0,-2,0,1
1513481665871810,-1,-2,-2,-1,1,-2,0,0
1513481665871810,-1,0,-1,0,-3,1,-1,0
1513481665872801,1,-1,-2,-1,0,-1,-3,-3
1513481665872801,-2,-1,-3,-2,1,0,-3,-2
1513481665885833,-3,-2,-1,0,-2,0,-1,-2
1513481665885833,0,0,-2,-1,-3,-3,-1,-2
1513481665886811,-1,-1,-1,0,-1,-2,-3,0
1513481665886811,2,-3,-3,-1,1,0,-4,-1
1513481665908827,-3,-3,-1,0,-1,0,0,-2
1513481665908827,1,-1,-1,2,-2,-2,2,-4
1513481665909832,1,-1,0,0,0,0,-2,-2
1513481665909832,0,-1,-2,-3,0,-3,-3,1
1513481665931852,-4,1,-1,-3,-2,-1,0,-3
1513481665931852,-2,-1,-1,0,-2,0,0,-1
1513481665931852,1,0,-1,-1,0,1,-3,-2
1513481665931852,-1,-1,1,-3,1,1,-4,-1
1513481665945862,0,-1,0,-1,-1,-2,-3,2
1513481665945862,-2,-1,0,1,-3,-2,0,0
1513481665946854,0,-1,-2,1,0,-1,-1,2
1513481665946854,-1,-1,-2,-1,2,-1,-1,-3
1513481665968870,0,-1,-2,-1,-1,0,2,1
1513481665968870,-1,-1,-2,-1,-2,-2,0,-3
1513481665969870,1,-2,-1,-1,2,0,-3,0
1513481665969870,3,-5,-1,-2,1,-2,-3,-1
1513481665991889,-2,0,0,-4,-1,-2,0,-1
1513481665991889,-3,-3,-2,1,-4,-3,1,2
1513481665991889,-4,-2,-2,0,-1,1,-1,-4
1513481665991889,0,0,-2,-3,0,-3,-2,1
1513481666005944,-2,-2,-1,-2,-3,2,0,-2
1513481666005944,-2,1,1,-1,-4,1,0,0
1513481666007910,-1,-1,-1,-1,-1,-1,-1,0
1513481666007910,-3,-2,-1,-2,3,-2,-5,-2
1513481666028919,-2,-2,-1,-2,-1,-1,0,0
1513481666028919,1,2,-1,-1,-4,0,2,-1
1513481666029912,-4,-1,0,-1,-2,-2,2,2
1513481666029912,1,-3,-1,-1,0,0,0,-1
1513481666051929,-1,-1,-2,1,-1,-2,-2,0
1513481666051929,-5,0,0,0,-1,-1,1,-3
1513481666052928,-1,-1,-1,-1,0,-1,-1,-2
1513481666052928,0,-1,-3,-2,1,-1,0,0
1513481666064949,-3,1,-2,-1,-4,0,1,0
1513481666064949,-2,0,-1,0,-4,0,-1,0
1513481666073944,0,-1,-1,-1,0,0,-1,-1
1513481666073944,-2,-2,-2,-3,2,-1,-2,-1
1513481666089012,-1,-2,0,-1,-1,-1,0,-1
1513481666089012,-1,0,-1,-1,-1,-2,1,-1
1513481666090955,-1,-1,2,0,0,-1,0,1
1513481666090955,-3,-1,0,-1,1,-1,-2,1
1513481666111970,0,-2,-1,0,-3,-1,0,-4
1513481666111970,1,2,-5,0,-3,-1,2,-4
1513481666112975,-1,-2,-1,1,2,0,-4,1
1513481666112975,0,0,14,-2,-4,-2,1,0
1513481666124981,-2,0,-1,1,-1,0,-1,-2
1513481666124981,-5,0,4,-1,-6,0,-1,1
1513481666133986,2,0,-7,1,1,-1,-2,-2
1513481666133986,0,-1,-6,-2,1,-2,-2,-4
1513481666149009,-4,-1,0,-2,-3,-2,2,-1
1513481666149009,-1,1,-2,0,-3,0,-2,-1
1513481666151009,-1,0,-1,-3,0,-1,-2,-2
1513481666151009,0,-3,-4,-1,-1,-3,-2,-2
1513481666171115,-2,-1,-1,-3,-2,0,-1,-3
1513481666171115,-4,-2,0,0,-3,-3,1,-3
1513481666173091,-1,-2,-2,-1,-2,-3,-3,2
1513481666173091,-2,-2,-2,-2,-1,0,-2,0
1513481666185102,1,-1,-5,0,-6,0,-2,1
1513481666185102,-3,1,2,-2,-3,-1,3,-2
1513481666194154,0,-2,1,0,0,-3,-3,-1
1513481666194154,1,-2,-2,-1,0,-1,-6,-1
1513481666209164,0,-1,0,-2,-1,0,1,-2
1513481666209164,2,-3,-1,0,-3,-1,-4,2
1513481666211154,1,0,-1,0,-2,-2,-1,-2
1513481666211154,-2,-3,-3,-2,1,-2,1,0
1513481666231168,-3,-2,-2,0,-1,-2,2,-1
