timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1514877637341927,-1,0,0,0,-1,1,-2,0
1514877637341927,-1,1,-1,-1,0,-1,0,-3
1514877637350938,-1,-1,-1,-3,0,-2,-1,-1
1514877637350938,-1,-2,-2,-2,-3,-3,-2,-1
1514877637365944,-1,0,0,-2,1,-1,-1,-1
1514877637365944,-1,-2,-1,-1,-2,0,-1,0
1514877637366946,-1,-3,-2,-1,-2,0,1,-2
1514877637366946,-3,-2,-1,0,0,1,1,-1
1514877637387959,-1,-2,-1,1,-1,-2,2,0
1514877637387959,-1,-1,0,0,0,1,-2,-1
1514877637389961,-2,0,-1,-3,0,-2,0,0
1514877637389961,0,0,-1,-2,-3,-2,1,0
1514877637401970,0,-1,0,-2,-2,1,0,-2
1514877637401970,0,-1,-2,-1,-1,-3,0,-3
1514877637410976,-1,-2,-3,0,-1,-1,0,-1
1514877637410976,-1,0,0,0,0,0,-2,0
1514877637425988,-1,-1,-1,-1,-2,-1,-3,0
1514877637425988,-2,-2,0,0,-1,1,-1,-2
1514877637426987,0,0,-2,-1,0,1,-2,0
1514877637426987,-1,-1,-1,0,-2,-2,1,-1
1514877637448006,-2,0,0,-2,0,-1,0,-1
1514877637448006,-1,-2,-2,-2,-1,-2,-2,1
1514877637450008,-1,-2,-1,1,0,-2,1,-1
1514877637450008,0,-1,0,-3,-1,-1,-1,-2
1514877637471019,-2,-1,-3,0,-2,-2,0,-1
1514877637471019,0,-2,-1,0,-2,0,0,0
1514877637472023,0,0,-2,-2,1,-2,-2,1
1514877637472023,-2,-1,-1,0,-1,-1,-1,1
1514877637486028,-1,-1,-1,0,-2,-1,0,-1
1514877637486028,0,-2,-2,-2,-1,-1,-2,-1
1514877637487029,-2,0,-1,-1,-2,0,-1,-3
1514877637487029,-2,0,0,-2,0,-1,0,-2
1514877637508044,-1,-1,-2,-1,0,0,-1,0
1514877637508044,0,-1,-1,0,0,0,0,-2
1514877637510077,0,-1,-3,-2,-1,0,-1,-1
