timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1512364291850027,-4,-3,1,-1,-1,0,2,-2
1512364291850027,-2,-1,0,-2,-2,-1,0,1
1512364291851028,-2,0,1,2,-1,-2,-2,0
1512364291851028,-2,1,-2,0,0,0,-3,0
1512364291872544,0,5,-1,-4,1,0,-2,2
1512364291872544,-2,-2,-2,0,-1,0,-1,1
1512364291873544,-2,2,3,-3,-2,-1,-2,-2
1512364291873544,-2,-3,-1,0,-1,0,-1,1
1512364291887554,0,5,-1,4,0,-2,2,-3
1512364291887554,-2,-4,-4,-3,0,-2,-3,-1
1512364291888555,1,1,-1,-5,-1,0,-3,0
1512364291888555,-1,2,1,11,0,-4,-3,0
1512364291910071,-1,0,0,-9,0,0,0,0
1512364291910071,-2,-5,-3,0,-5,-2,-2,-3
1512364291911072,0,-2,-2,-5,-2,-1,0,-1
1512364291911072,-1,-6,-1,4,-3,-1,-1,-2
1512364291932586,-5,-9,-3,3,-1,0,1,0
1512364291932586,1,6,1,-9,2,-1,-1,1
1512364291933587,1,0,-2,-12,-1,-1,-1,-2
1512364291933587,-2,0,2,0,-1,-3,-1,-3
1512364291947609,-1,-3,-6,1,3,1,-1,-1
1512364291947609,-2,1,1,5,-1,0,-2,1
1512364291948610,-1,-2,1,0,-1,-1,-2,-2
1512364291948610,-1,0,-2,-4,-1,-1,0,-2
1512364291970112,0,5,0,1,-1,-2,-1,-2
1512364291970112,-1,0,-1,0,-1,-1,1,-2
1512364291971113,-1,-2,0,3,-1,0,0,-1
1512364291971113,-1,-1,-1,1,-1,1,-3,-1
1512364291992631,2,3,0,-9,0,-1,-1,-1
1512364291992631,0,-1,-2,0,-2,-2,2,-1
1512364291993629,0,3,-2,-2,0,-2,0,1
1512364291993629,1,-2,0,3,-2,-1,0,0
1512364292007651,1,0,1,0,-1,-1,-1,-2
1512364292007651,-3,4,4,-2,0,0,-2,1
1512364292008641,-2,-1,-3,1,-1,-2,0,-4
1512364292008641,-2,-1,-1,-3,0,-1,-1,-2
1512364292030167,1,5,2,-3,-3,-1,0,-1
1512364292030167,0,-2,-2,-1,-3,-2,-3,-2
1512364292031168,-2,-3,-1,-3,0,0,-1,1
1512364292031168,-3,-2,-2,1,1,0,1,-1
1512364292052670,0,-5,-3,-4,-4,-2,-1,0
1512364292052670,-3,-3,-2,9,0,0,-2,-1
1512364292053170,-3,-2,-2,-8,-2,-1,0,-1
1512364292053170,0,0,-4,-7,-2,-3,-2,-2
1512364292067181,-1,-7,-3,-2,-1,-1,0,-1
1512364292067181,2,-1,-1,-2,-2,-2,0,-1
1512364292075187,0,0,1,3,-3,-1,0,-1
1512364292075187,-3,-2,2,0,-2,-1,0,-1
1512364292090197,-1,1,-1,4,-1,0,-2,-1
1512364292090197,0,0,-1,-6,-2,-2,-3,0
1512364292091198,-2,-10,-3,-2,0,-1,-3,-1
1512364292091198,0,-3,-4,0,-1,-3,-1,0
1512364292112712,-2,4,-1,3,-1,-1,-2,-2
1512364292112712,1,2,-2,-3,-2,-1,0,-1
1512364292113713,-1,1,1,-1,-2,0,-1,-2
1512364292113713,-1,1,1,4,-1,-2,1,-1
1512364292127723,-1,2,3,-10,0,-1,0,-1
1512364292127723,-2,-6,-3,-3,0,-1,0,0
1512364292128230,0,-3,-3,3,-1,-1,-1,-2
1512364292128230,-1,3,-3,-4,1,0,-2,0
1512364292150239,-2,-2,-1,3,-2,-2,-3,-4
1512364292150239,-1,1,3,-2,-3,0,0,-2
1512364292151240,-2,0,-1,1,1,-1,-1,-2
1512364292151240,0,-2,0,0,-2,1,-3,-2
1512364292172755,-6,1,-2,-2,0,0,-1,0
1512364292172755,-2,-3,-3,0,0,-2,-1,-1
1512364292173256,-1,-1,2,6,-2,-1,0,2
1512364292173256,-2,-5,-1,-6,-2,-1,-1,-1
1512364292187780,2,0,-1,1,0,1,-1,-2
1512364292187780,-1,-2,0,-1,-2,-1,-2,-3
1512364292188266,-3,-4,0,-2,-2,-1,1,-2
1512364292188266,0,-2,-1,-1,-2,-1,0,-3
1512364292210295,0,0,-2,-1,-3,-2,0,-1
1512364292210295,0,1,0,0,0,-1,-3,0
1512364292211284,0,-2,-3,-2,2,-2,-3,0
1512364292211284,-2,5,3,7,-2,-1,-1,-1
