timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1514898311161169,1,-1,1,2,-2,0,1,-1
1514898311161169,-3,-2,-2,0,0,0,0,-1
1514898311162670,0,-7,-4,-2,-1,-2,-2,-2
1514898311162670,-3,1,-1,-2,-2,-1,-1,1
1514898311184187,-4,-5,-1,3,1,-1,0,-3
1514898311184187,-5,-4,-2,-3,-1,-1,-1,-1
1514898311185688,-4,-1,-1,-6,-2,-3,-1,-1
1514898311185688,-1,10,4,3,-1,0,-1,-2
1514898311198195,-2,3,1,1,0,1,-1,0
1514898311198195,0,-4,-3,0,-2,0,-1,-3
1514898311204701,-1,0,3,4,-2,-3,-2,-1
1514898311204701,0,-6,-6,-4,3,0,0,-1
1514898311221212,2,4,2,-1,-1,-1,-2,-1
1514898311221212,0,-1,-4,-4,1,0,1,0
1514898311222712,-1,-6,1,3,-3,-1,0,2
1514898311222712,-1,-4,0,-2,-2,-2,1,0
1514898311243227,-2,-2,-3,-2,-2,1,-3,-1
1514898311243227,2,-2,0,-2,-2,-2,0,-1
1514898311245230,-11,-9,-1,1,0,-1,-2,-2
1514898311245230,-3,-2,-1,-1,-1,-3,0,-3
1514898311257737,0,-3,-3,3,1,1,0,2
1514898311257737,0,4,0,-3,-2,-1,-1,-1
1514898311264743,0,-2,-2,-5,-1,0,0,-1
1514898311264743,-1,1,0,-2,-3,0,0,-1
1514898311281255,3,8,3,6,-1,0,-1,-1
1514898311281255,-4,-5,-4,-3,1,-1,-2,0
1514898311283257,-1,0,-2,-2,0,-1,1,-1
1514898311283257,-2,1,0,-6,-2,-2,-2,-2
1514898311303769,0,-2,0,-6,-3,-3,0,0
1514898311303769,-1,0,-1,1,-2,-2,-3,-1
1514898311305271,2,-5,-3,-2,1,-2,0,-2
1514898311305271,-2,-2,2,3,0,-1,-1,-2
1514898311318781,-3,-4,-3,-5,-1,-1,0,-2
1514898311318781,-1,2,-2,-1,-1,-2,0,0
1514898311324785,-2,-2,-2,-2,-1,0,-1,-1
1514898311324785,7,-2,0,2,-2,0,-3,-2
1514898311340798,-5,-9,-5,-5,-3,0,-1,-4
1514898311340798,0,2,1,3,2,-1,1,4
1514898311342797,4,2,-1,-3,-1,0,-2,0
1514898311342797,-4,-1,1,5,-1,-1,0,-2
1514898311363813,5,14,2,-1,0,0,1,3
1514898311363813,1,-2,-3,4,0,-1,-1,-2
1514898311366314,0,-2,-6,-3,-2,0,-1,-1
1514898311366314,0,3,-1,-9,-3,-2,-2,1
1514898311377330,-3,-10,-2,9,3,1,-2,-1
1514898311377330,1,-2,-1,3,-3,-3,0,0
1514898311386328,0,4,1,-3,0,0,-1,-1
1514898311386328,-4,-5,-4,1,-1,-2,-1,-2
1514898311400838,-5,6,2,1,-2,-1,-2,-1
1514898311400838,-5,-2,-5,-14,3,1,-1,-3
1514898311402340,-5,-6,-1,2,-3,-3,-1,-5
1514898311402340,-2,8,4,-5,0,0,1,3
1514898311423355,-3,-7,-3,0,-2,-1,-2,-1
1514898311423355,0,4,4,8,-4,0,0,-1
1514898311424856,-2,1,-1,-3,0,0,0,-2
1514898311424856,3,-23,-9,3,-3,-3,0,0
1514898311437865,-3,3,1,-1,-2,0,0,-1
1514898311437865,2,-5,-1,-6,-4,0,-1,-1
1514898311444370,-1,-1,2,2,3,0,0,1
1514898311444370,-2,-4,-2,-1,-2,0,-2,-2
1514898311460890,2,-4,-4,-2,-1,-2,-2,-1
1514898311460890,-6,-6,-2,-3,-1,0,-1,-2
1514898311462387,1,-1,-3,0,-1,0,0,0
1514898311462387,1,1,0,-2,1,-1,-1,0
1514898311483397,1,-3,-4,-7,-1,-2,-3,-5
1514898311483397,-8,6,2,3,0,0,0,2
1514898311485899,2,-2,-1,0,-2,-1,-2,0
1514898311485899,-2,0,1,0,-1,1,0,1
1514898311497909,-4,-7,-2,-1,-1,-1,0,0
1514898311497909,0,-3,-2,-2,0,-2,-1,-2
1514898311511917,4,-5,-1,-3,1,-1,-2,-2
