timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1513231231595554,4,16,3,2,-1,1,1,0
1513231231595554,3,20,5,3,1,-2,-2,0
1513231231610563,4,-7,-7,-5,-1,-2,-2,1
1513231231610563,-2,4,-1,6,-3,-1,1,0
1513231231612064,-4,17,-1,-7,0,-2,0,0
1513231231612064,9,-15,-10,-2,1,1,2,1
1513231231626076,-10,8,40,2,-1,-1,1,-4
1513231231626076,13,26,-21,-2,-3,-2,-2,5
1513231231627077,-16,-63,5,4,0,-2,-2,-4
1513231231627077,3,6,-6,-12,-4,-2,-1,3
1513231231639084,1,-2,-12,-3,3,-1,-2,-2
1513231231639084,8,-5,-4,0,-2,-1,0,-1
1513231231648091,-2,26,5,2,-3,-1,-3,-2
1513231231648091,1,-8,17,0,0,-2,-2,1
1513231231663103,3,-10,-33,-5,-3,-2,1,2
1513231231663103,-13,9,27,-3,-3,-3,-5,-8
1513231231664605,5,3,-14,0,1,1,0,1
1513231231664605,-5,-12,7,1,-1,0,1,0
1513231231685635,-3,13,6,2,-1,-1,0,0
1513231231685635,-5,4,-9,-5,1,0,-2,-1
1513231231687137,0,-5,2,2,-1,-2,0,-3
1513231231687137,-5,-4,-2,2,-1,-2,-3,-5
1513231231699142,2,1,3,1,0,-1,2,6
1513231231699142,-2,-3,-9,-4,0,0,-1,0
1513231231708135,-7,7,10,1,-2,0,-2,-2
1513231231708135,-1,-5,-9,-1,1,1,-1,-2
1513231231722656,3,-1,-4,-2,-1,-1,-3,0
1513231231722656,-5,0,6,0,0,0,-1,-3
1513231231729165,14,-4,-12,-1,-4,-2,-3,3
1513231231729165,-8,-5,-9,-4,-2,-1,1,-2
1513231231745669,-4,-4,6,-2,-1,-2,-1,-4
1513231231745669,1,5,1,6,-3,-1,0,-1
1513231231747170,-4,-2,-6,-3,4,-2,0,-1
1513231231747170,-1,-11,-7,2,-1,-1,-2,0
1513231231767678,1,-2,4,1,0,0,-2,-1
1513231231767678,1,5,-3,-4,-1,-2,-1,-1
1513231231774180,1,0,-1,-5,-2,0,-1,-1
1513231231774180,-2,-15,-1,-7,-2,-2,-1,-1
