timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1504341363084313,1,4,2,-2,-3,-3,-3,-3
1504341363084313,1,-1,1,0,-3,-2,-1,-2
1504341363085315,-2,-3,-2,1,1,-1,0,-1
1504341363085315,-2,-1,-2,-1,0,-1,-2,-2
1504341363097323,2,1,0,-3,-1,-4,-2,-1
1504341363097323,0,-1,0,-2,-3,-2,-1,-1
1504341363105829,-5,-3,-2,-2,0,1,2,0
1504341363105829,-3,-1,-1,-1,-2,-2,-1,-2
1504341363120339,2,3,0,-2,-4,-3,-1,0
1504341363120339,1,-1,0,-2,-1,1,-1,2
1504341363121341,-3,-3,-2,0,-1,1,-4,-5
1504341363121341,-1,-1,-1,0,-1,1,0,-1
1504341363142854,2,2,-1,-1,-3,-3,-1,-1
1504341363142854,1,0,0,-1,-2,-1,-1,3
1504341363143855,-3,-5,-3,0,1,0,1,1
1504341363143855,-1,-5,-1,0,-3,-3,-1,-1
1504341363157367,4,0,1,0,0,-1,-2,0
1504341363157367,1,2,0,-1,1,0,1,-2
1504341363165371,-4,-4,-1,1,-1,0,-1,-1
1504341363165371,-2,-1,-2,0,0,0,-2,-4
1504341363180381,1,2,0,-3,-6,-2,-1,3
1504341363180381,1,0,0,-1,-4,-5,-1,-1
1504341363181382,-3,-4,-2,0,1,1,0,-1
1504341363181382,-1,-2,-4,-2,0,-1,1,0
1504341363202897,1,3,0,-1,-2,-3,-2,-2
1504341363202897,1,1,1,1,-1,-2,-1,-1
1504341363203398,-5,-3,-3,-2,0,1,0,0
1504341363203398,-3,-2,-1,0,-1,0,-2,-4
1504341363233420,3,1,0,-1,-3,-2,-1,-3
1504341363233420,-2,-1,0,-4,-3,-1,-3,1
1504341363234421,-4,-5,-2,-2,-1,-2,0,-1
1504341363234421,-3,-3,-4,1,-1,-1,-1,1
1504341363240425,1,1,0,0,0,0,3,1
1504341363240425,0,1,0,0,0,-1,-3,-3
1504341363240924,-4,-5,-1,1,-1,1,-1,1
1504341363240924,-2,-3,-2,-2,1,-1,1,-1
1504341363262941,2,2,2,-2,-3,-2,-3,2
1504341363262941,-1,-3,0,-1,-2,-1,-2,-2
1504341363263441,-4,-4,-3,0,1,0,0,-1
1504341363263441,-2,0,-2,0,-2,-2,-1,0
1504341363285956,1,4,0,-2,-2,-2,-2,-1
1504341363285956,0,-2,-1,-3,0,-2,-1,-1
1504341363286956,-4,-5,-1,1,0,0,1,0
1504341363286956,-3,-4,-1,-1,0,1,-1,-1
1504341363300466,2,3,0,-3,-2,-1,-2,-5
1504341363300466,2,2,2,1,-2,0,-1,0
1504341363300967,-4,-4,-3,1,0,0,0,-2
1504341363300967,-2,-2,-4,-1,0,0,1,-1
1504341363322983,1,2,0,0,-3,-2,-2,0
1504341363322983,0,0,0,1,-1,-3,-2,-3
1504341363323484,-3,-4,-4,-2,1,-1,0,-3
1504341363323484,0,-2,-2,-1,-1,2,0,3
1504341363354007,1,2,-1,-3,-1,-2,1,-2
1504341363354007,-2,-2,0,-1,-2,0,-1,-2
1504341363354506,-5,-6,-1,-1,0,0,0,-1
1504341363354506,-1,-3,-3,-1,0,1,-1,1
