timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1512443584456060,-1,0,-2,-1,0,1,-1,-2
1512443584456060,-2,-3,1,-3,-5,-2,-1,-1
1512443584458066,1,-1,-2,0,1,-1,0,-4
1512443584458066,1,1,0,-1,-1,-1,-2,1
1512443584479076,-1,-1,-2,-2,-1,-1,0,0
1512443584479076,-1,-1,-2,0,1,-1,-1,1
1512443584480077,-1,-2,-1,-1,-3,0,-4,0
1512443584480077,0,-3,-3,-2,-1,-2,-2,-4
1512443584493086,0,0,-2,0,-1,-1,-1,-1
1512443584493086,-1,-2,-3,-3,-3,1,-2,0
1512443584500091,-4,1,1,-1,-3,0,0,2
1512443584500091,0,-4,0,-1,-1,0,-1,0
1512443584516103,0,0,-2,-2,0,-2,-5,-2
1512443584516103,0,-3,0,-1,-1,-4,0,0
1512443584518105,1,-1,0,-1,0,0,1,3
1512443584518105,1,1,1,0,-2,-1,3,0
1512443584539118,0,0,-1,1,-2,-3,-2,-2
1512443584539118,-1,-5,-2,-2,1,0,0,-2
1512443584540120,-3,-1,0,-2,-3,-2,-4,-2
1512443584540120,0,2,0,-1,-1,-1,0,0
1512443584553128,-1,-3,2,-2,-2,0,1,-1
1512443584553128,1,-4,-1,-2,-2,-3,-1,-1
1512443584560137,-2,-6,-1,-2,-3,-2,2,-3
1512443584560137,-1,-2,-1,2,0,-1,-4,-1
1512443584576145,-3,-2,-2,-2,1,0,-1,0
1512443584576145,-1,-1,0,-3,-2,0,0,-1
1512443584578158,-2,1,1,-1,-2,-2,-2,-1
1512443584578158,-3,1,-2,2,-2,-1,0,0
1512443584599161,0,1,-2,-1,-1,-1,-1,-2
1512443584599161,2,0,1,0,0,0,-4,-3
1512443584600168,-1,-2,0,0,-2,-1,-2,1
1512443584600168,-2,0,-2,-1,-3,-2,0,0
1512443584612170,-3,1,-1,-2,0,0,1,-5
1512443584612170,0,-2,-5,-2,-1,0,0,-2
1512443584621186,-1,0,-2,-1,0,1,-1,-1
1512443584621186,-1,-6,1,1,-3,0,-3,0
1512443584636216,-2,-1,-1,-2,2,-1,-2,1
1512443584636216,0,1,0,-1,1,0,0,3
1512443584638219,3,1,0,-2,-2,-3,-1,-1
1512443584638219,1,-2,-1,-1,1,-2,-1,-5
1512443584658202,-1,0,-1,0,-3,-2,-1,-1
1512443584658202,-7,0,-1,1,-3,-1,0,-2
1512443584660204,-3,-2,-2,-2,-2,-1,3,0
1512443584660204,-3,-2,-1,-3,1,0,2,-4
1512443584672222,1,-2,0,0,-1,-2,0,-2
1512443584672222,-1,0,-1,-1,-3,-1,-2,-2
1512443584681219,-2,-4,-2,-2,-4,-3,-1,1
1512443584681219,-1,2,-2,-2,0,1,-3,1
1512443584697255,-3,-3,-5,-1,2,0,-1,-2
1512443584697255,-1,0,0,-2,-1,1,1,3
1512443584702235,-2,-1,-1,-1,-3,-1,1,-2
1512443584702235,0,-1,1,-2,-1,-2,-1,-2
1512443584718246,2,1,-1,-2,0,0,-4,1
1512443584718246,-3,0,-1,-1,-1,-1,1,-2
1512443584720248,0,0,0,1,-3,0,-2,-1
1512443584720248,-1,-1,0,0,-1,-2,0,1
1512443584732271,-3,0,-2,-4,-1,-1,2,-1
1512443584732271,-2,-2,-1,-1,-1,-1,-1,-5
1512443584741262,-1,-3,0,0,0,-1,-2,-2
1512443584741262,-3,4,-2,-3,-2,0,-3,0
1512443584755272,2,1,-1,-1,0,-2,0,1
1512443584755272,1,-2,0,-1,0,-2,-1,2
1512443584764279,-3,0,0,-3,-3,-1,2,-3
1512443584764279,0,0,-1,-1,1,-1,0,-1
1512443584778297,0,-2,-2,-1,-2,0,-4,-2
1512443584778297,0,-1,0,-4,-1,0,-2,-3
1512443584780289,2,-1,1,3,0,-1,-1,0
1512443584780289,1,-4,-1,-1,0,1,2,0
1512443584792298,-2,2,-3,-1,-3,0,-1,0
1512443584792298,0,-1,0,0,-3,-1,0,-1
1512443584801305,0,0,-1,-1,2,-2,-2,1
1512443584801305,-3,2,0,0,-2,-2,-1,-1
1512443584816355,1,-3,-2,-4,0,0,-3,-2
1512443584816355,-2,-3,-1,-4,-3,-1,-2,3
1512443584818350,0,-2,-2,-2,-2,1,0,-1
1512443584818350,0,-1,0,0,-3,-1,-1,0
1512443584838346,-1,-1,0,1,-1,-1,0,-3
1512443584838346,-3,2,-3,1,0,-4,2,2
1512443584840332,-2,-2,0,-1,-2,-2,-2,-1
1512443584840332,-1,-2,-1,0,0,-1,-3,-1
1512443584852350,-1,-2,1,-1,-2,-1,2,0
1512443584852350,2,-2,-2,-1,1,0,-2,-4
1512443584861354,0,-1,0,-1,1,-1,-2,-3
1512443584861354,-1,-1,-2,0,0,-2,1,-1
1512443584876358,-2,-2,-2,0,-1,-2,-1,2
1512443584876358,0,1,1,1,-4,1,-1,-3
1512443584878359,-1,-1,2,0,-4,-2,2,0
1512443584878359,-3,-2,-1,-1,-1,0,-1,-3
1512443584898397,1,-1,-3,-1,0,0,-3,-2
1512443584898397,-1,-3,-1,0,0,-2,-3,1
1512443584900381,-2,2,2,-1,-2,0,-1,-1
1512443584900381,-1,-3,-2,-2,-3,-2,0,0
1512443584912408,0,-3,-1,-1,0,-4,1,0
1512443584912408,-1,-2,0,-1,0,-1,-1,-4
1512443584921395,-1,-1,-3,0,1,0,0,-3
1512443584921395,-4,-3,0,-1,-2,1,1,-2
1512443584936415,-4,1,-1,-3,1,-1,0,-2
1512443584936415,-1,0,-2,1,-3,-4,-2,0
1512443584937402,0,-2,-1,-1,0,-1,-2,-3
1512443584937402,-2,-1,-1,0,-1,0,-1,1
1512443584958417,0,-3,-3,-3,0,0,-2,-2
1512443584958417,-1,0,2,-2,-2,-2,3,0
1512443584960431,1,1,0,0,-3,-1,-1,-2
1512443584960431,1,3,0,0,-1,-3,-1,-2
1512443584972426,-2,0,-3,-2,0,-1,-3,-1
1512443584972426,-4,-1,-2,-1,0,0,1,0
1512443584981436,-3,-3,0,0,-1,-1,-1,-1
1512443584981436,3,-1,0,0,-2,-1,-1,-1
1512443584996444,0,4,0,-1,-3,0,-1,2
1512443584996444,0,-2,-1,-3,-1,0,-1,-3
1512443584997455,-4,-3,0,-1,-3,-2,-1,2
1512443584997455,-1,-3,-3,-1,1,0,-2,0
1512443585018458,4,-1,-1,0,1,-1,1,2
1512443585018458,-2,-5,0,-2,-1,-1,-3,0
1512443585020460,3,4,-2,1,0,1,-1,0
1512443585020460,0,-5,-1,-2,-2,-3,-2,-2
1512443585032483,-3,-1,-2,-2,-3,1,-1,-3
1512443585032483,-2,-1,-2,-2,-3,0,-1,-2
1512443585041483,-2,-4,-1,-2,0,-1,0,1
1512443585041483,-2,0,-1,-1,0,0,-2,-1
1512443585056484,0,-2,-2,-1,-2,0,2,-1
1512443585056484,-2,1,-1,0,0,-2,-1,0
1512443585057485,-2,-3,1,2,-3,-1,2,-1
1512443585057485,-1,-1,0,-1,-1,-1,-3,1
1512443585078503,0,2,-2,-3,1,-1,-4,-3
1512443585078503,-1,0,-3,-1,-3,-1,-1,0
1512443585080501,0,0,0,-1,-2,2,-1,-1
1512443585080501,-1,-4,0,-2,1,-2,-1,1
1512443585101517,-1,-2,-3,0,-1,-2,1,-2
1512443585101517,-3,-2,-1,0,0,-3,-3,0
1512443585103518,0,-1,-2,-2,-2,-2,3,0
1512443585103518,1,2,0,-1,-2,-1,1,-3
1512443585116527,-1,-1,-5,0,-1,0,-2,1
1512443585116527,2,-2,1,1,-3,0,-2,-3
1512443585117528,-2,-2,1,-1,-2,-3,-4,4
1512443585117528,1,3,-1,-2,-1,-2,-1,-2
1512443585138557,1,0,0,-2,-1,-1,-2,-1
1512443585138557,-4,-2,-2,-1,1,0,1,0
1512443585140544,1,0,-1,0,-2,-2,-3,0
1512443585140544,-5,-2,-1,-1,-2,0,1,0
1512443585161558,0,1,-3,-1,-2,1,-1,-1
1512443585161558,4,-2,0,-2,-2,0,0,-4
1512443585162565,-2,-5,-2,-2,-1,-1,-2,-4
1512443585162565,-3,-4,-1,-1,-2,0,-1,-1
1512443585176569,-3,-2,-3,0,-2,-1,0,-2
1512443585176569,1,-5,-2,-2,-4,0,4,1
1512443585177570,-1,1,-1,-1,-1,-2,-4,1
1512443585177570,-2,-1,-3,2,1,1,-3,-2
1512443585198584,0,-1,0,0,-1,-4,-2,-2
1512443585198584,-3,-3,2,0,-1,-3,-4,1
