timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1514949564624045,-1,-1,0,-1,-2,-1,-2,-3
1514949564624045,0,-2,-2,-1,0,0,-1,-1
1514949564628044,-2,0,0,-3,-1,-2,0,-1
1514949564628044,-1,-3,-2,-1,-1,2,-1,1
1514949564638053,-1,-2,0,1,0,-1,-3,-3
1514949564638053,0,0,-1,-2,-1,-3,-3,-1
1514949564638053,-1,0,-2,0,-1,-1,0,-2
1514949564638053,0,-3,-1,-2,-2,-1,0,-2
1514949564661070,-1,-1,-1,-1,-2,0,-2,-2
1514949564661070,1,-3,0,1,-4,0,1,0
1514949564661070,-2,-4,-1,-1,0,-1,-2,-1
1514949564661070,0,0,1,-1,-1,-1,-3,-1
1514949564683083,-1,0,-2,-2,-2,-1,-1,-2
1514949564683083,-1,1,-1,-2,-1,-1,-1,-3
1514949564684084,0,-1,-4,-3,-3,-1,-1,-1
1514949564684084,-2,1,-1,-2,-1,-2,-1,-2
1514949564697093,-2,-1,0,0,0,0,-2,-2
1514949564697093,0,0,-3,-1,-1,1,-1,-1
1514949564698094,0,-2,-2,0,-1,-1,-2,-3
1514949564698094,0,0,-2,-2,0,0,-1,-1
1514949564721110,0,-2,-2,-1,0,-1,-1,-1
1514949564721110,-2,0,-1,-3,-1,-1,-1,-1
1514949564723114,-1,-1,0,-1,0,-2,0,-2
1514949564723114,1,-2,-2,-1,-1,-2,-1,0
1514949564743126,-2,1,-2,-2,-1,-3,2,0
1514949564743126,-1,-1,-1,0,-2,0,0,-1
1514949564744127,0,-1,-2,-1,1,-1,-2,0
1514949564744127,-1,-1,-1,0,-1,0,-2,-1
1514949564757138,-1,-2,0,-2,-1,-1,1,-2
1514949564757138,-2,-1,0,0,2,-2,-4,-1
1514949564758138,-3,-2,-1,-1,-2,-2,0,-2
1514949564758138,-1,-2,-2,0,0,-1,1,-1
1514949564780152,-2,1,-2,-1,-2,-2,-1,0
1514949564780152,-1,-1,-1,-2,-2,-1,0,-1
1514949564781153,-2,-1,1,-2,-2,0,2,-2
1514949564781153,-2,-1,-2,-2,-2,-1,0,-1
1514949564804172,-1,-1,-1,-2,-1,-2,-2,0
1514949564804172,-1,0,-1,-2,-1,0,-3,0
1514949564805169,-1,-2,-1,-1,-1,-1,-2,0
1514949564805169,-2,0,-1,-1,0,-2,0,-1
1514949564817178,-2,-2,-1,-2,-1,0,-3,0
1514949564817178,-2,-3,-2,-1,-1,-1,-1,-2
1514949564818183,1,-2,0,0,1,-3,-1,-1
1514949564818183,-2,-1,0,0,-3,-1,-3,0
1514949564840203,2,1,-3,-1,-2,0,-1,-1
1514949564840203,-2,1,-1,0,-2,-2,-2,0
1514949564841195,1,-3,-1,0,-1,-1,-1,-2
1514949564841195,-1,1,0,0,0,-1,-2,-1
1514949564863210,1,-4,-2,-1,-1,-2,0,-1
1514949564863210,-2,-1,-2,0,0,1,1,1
