timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1514887916455348,-2,0,-2,-1,-1,-2,-1,0
1514887916455348,1,-1,-1,-2,0,-2,-1,-4
1514887916457345,-1,-2,-1,-2,0,-2,-1,-2
1514887916457345,0,-2,0,-2,-2,0,-1,0
1514887916470354,0,-2,-2,-2,-2,-1,-1,2
1514887916470354,-1,-1,0,-3,-2,-2,-4,0
1514887916476363,-3,-2,-2,-2,-2,0,-4,-1
1514887916476363,-3,-1,-2,0,2,0,-3,0
1514887916493368,-1,0,-2,-1,-2,0,1,-3
1514887916493368,0,-1,-1,-1,-2,-2,2,-4
1514887916494369,0,-1,-1,-2,0,-1,-3,0
1514887916494369,-2,-3,-3,-1,-2,-1,-1,0
1514887916515386,-2,-2,1,-2,-2,0,0,-3
1514887916515386,0,-1,-3,0,-2,-1,0,-1
1514887916517387,-1,0,-4,-2,0,-2,-3,0
1514887916517387,-1,-1,0,0,-1,0,-2,-1
1514887916529393,-1,-2,-1,-1,-1,-2,-1,0
1514887916529393,-3,1,0,0,-2,-1,-1,-3
1514887916536400,0,-1,-2,-1,0,-2,-1,0
1514887916536400,-2,-2,-1,-1,-1,-2,-2,0
1514887916553413,2,-1,-3,-2,-1,0,1,0
1514887916553413,-3,-1,-1,-1,1,0,-1,-1
1514887916554421,-2,-2,1,-1,-1,-2,-1,0
1514887916554421,-2,-2,0,-1,-1,-1,0,-2
1514887916575445,0,-2,-1,-1,-2,1,-1,0
1514887916575445,-4,-3,-1,1,-2,0,-1,1
1514887916577428,-1,-2,-1,-2,0,0,-2,0
1514887916577428,0,-1,-1,-2,0,-1,0,-2
1514887916589436,-1,0,-1,-1,-3,1,0,-3
1514887916589436,-1,-2,1,-2,-1,-3,0,0
1514887916596480,-5,1,-2,-2,-2,-2,1,0
1514887916596480,0,0,-1,-2,-1,-2,-2,-1
1514887916612464,-3,-1,0,-1,0,0,0,-2
1514887916612464,-1,0,-1,0,-1,-1,1,-2
1514887916614472,-1,0,-1,-3,-2,0,1,0
1514887916614472,1,-1,-2,-1,-1,-1,-1,-3
1514887916636468,-1,0,0,-1,-1,-1,-3,-1
1514887916636468,0,-2,-1,0,0,-1,-2,-2
1514887916637479,-1,-2,-1,1,0,-1,0,1
1514887916637479,0,-1,-3,1,0,0,1,-1
1514887916650480,-2,-1,0,-1,-2,-1,-3,-1
1514887916650480,1,0,-1,-1,1,0,-2,-2
1514887916656483,1,-2,-1,-2,-3,0,-2,-4
1514887916656483,-2,0,-2,-1,1,-1,-2,1
1514887916672494,-2,-1,-2,1,0,-3,0,-1
1514887916672494,0,0,-1,-2,-1,0,-3,-2
1514887916674509,-2,-1,-1,-1,0,0,1,-2
1514887916674509,-1,-1,-1,1,0,-1,-4,-3
1514887916695537,1,-4,-2,-1,0,-1,0,-1
1514887916695537,-1,1,1,-1,-1,-1,0,0
1514887916696550,-1,-2,-1,1,0,-1,-2,-4
1514887916696550,1,0,0,-2,-1,-1,1,0
1514887916709521,-1,-1,-2,0,2,-1,-1,2
1514887916709521,1,-2,0,0,0,-1,-2,1
1514887916716525,1,0,-1,-2,-2,-2,1,-3
1514887916716525,-4,1,-1,-1,-2,-4,1,-2
1514887916732538,-2,0,1,-1,-1,1,0,-5
1514887916732538,-1,-1,-1,-3,-1,-2,1,2
1514887916734540,-3,-1,-2,2,-3,-1,1,1
1514887916734540,-2,-2,0,-3,-1,-2,0,-3
1514887916755576,-3,-2,-1,-3,-2,-2,0,-1
1514887916755576,1,0,-2,0,-3,-1,0,-3
1514887916756571,0,-2,1,-1,0,-2,-4,0
1514887916756571,1,-3,-2,-1,-2,0,1,-2
1514887916768573,-4,-1,-1,0,2,0,-1,-2
1514887916768573,-2,-1,-1,-2,0,-1,0,0
1514887916777588,-1,0,-1,-1,-2,-1,1,0
1514887916777588,0,-1,-1,-1,-2,0,-4,-1
1514887916792636,0,-2,-2,1,1,-1,-1,-1
1514887916792636,-2,-2,-3,-2,-2,0,1,-1
1514887916794610,2,0,-3,0,-2,-1,-1,1
1514887916794610,-1,-1,-1,-2,0,0,-1,0
1514887916815647,0,-1,0,-2,-1,-2,-1,-1
1514887916815647,1,-1,1,-1,-3,-1,0,-1
1514887916816647,-2,-1,0,-2,-1,-1,0,-1
1514887916816647,-1,-1,-2,0,-1,-1,-1,1
1514887916828689,2,-1,-2,-1,-4,-1,-4,1
1514887916828689,0,0,-2,0,-1,-1,0,-2
1514887916837683,1,-2,-1,-1,-1,-1,-2,-2
1514887916837683,-3,0,-2,-1,-1,0,-2,-2
1514887916852694,1,-1,-2,-3,-3,-1,0,0
1514887916852694,0,-1,-2,-1,-2,-1,-3,-1
1514887916854694,-1,-2,-1,0,0,0,-2,0
1514887916854694,-2,0,-1,0,-1,-2,-2,-1
1514887916875710,0,-3,-2,-2,-3,0,1,-2
1514887916875710,1,-2,-2,0,-3,0,-2,0
1514887916876693,-1,-1,-2,-2,0,-1,0,-2
1514887916876693,-2,-3,-1,-2,-2,-1,0,-1
1514887916889699,-3,0,-1,-2,-2,-1,-1,-1
1514887916889699,-1,0,-2,1,-1,-2,-1,-1
1514887916897717,-1,-1,0,-1,-1,-2,-1,1
1514887916897717,0,1,0,-2,-1,-1,0,-3
1514887916913739,-1,1,0,0,1,-1,1,-2
1514887916913739,-2,-2,0,-2,-1,0,-2,-1
1514887916915728,1,1,-1,2,-2,-1,-3,-2
1514887916915728,-3,-1,-1,-1,-1,0,0,2
1514887916935732,0,0,1,1,-1,-3,-1,1
1514887916935732,-1,0,0,-1,0,-2,-2,-3
1514887916936746,-2,-1,0,-1,0,-1,-3,-1
1514887916936746,1,-2,-2,-2,-2,-2,-1,0
1514887916948751,-3,0,-2,-2,0,-3,-2,-2
1514887916948751,0,-2,-1,-2,-1,-1,1,1
1514887916957747,-3,-2,-1,-3,-1,-1,-1,-1
1514887916957747,-2,0,0,-1,1,-1,-2,-1
1514887916972781,-2,-1,-2,-1,-1,-1,-1,1
1514887916972781,-3,-1,-2,-1,-1,0,0,1
1514887916974774,1,-1,0,0,1,-2,-2,-2
1514887916974774,-1,-1,1,0,-1,-3,-3,-1
1514887916995785,-1,-4,-3,0,-1,0,-2,-1
1514887916995785,1,0,-1,0,-2,0,1,-1
1514887916996775,0,-2,-1,-1,-1,0,1,0
1514887916996775,-2,0,-2,-3,0,-2,-3,1
1514887917008793,-2,-1,1,-1,-2,-1,-1,-1
1514887917008793,0,0,0,-2,-2,-1,0,-4
1514887917017789,-2,0,-3,-1,-3,0,1,0
1514887917017789,1,-1,-1,0,-1,0,-2,-2
1514887917032815,-1,-2,-2,-1,-1,-1,0,-1
1514887917032815,-1,-2,-1,-2,0,0,2,1
1514887917034811,0,-2,1,0,0,1,-1,-1
1514887917034811,-2,-2,-2,-2,-2,-1,-2,0
1514887917055834,1,-1,0,-3,-2,-1,1,0
1514887917055834,-1,-1,-1,0,-1,-1,0,-1
1514887917056817,-3,-2,-2,-1,-2,-2,-2,2
1514887917056817,-2,-1,-1,1,-1,-1,-3,-1
1514887917068828,-1,-1,-3,-2,0,-3,0,-2
1514887917068828,-2,-1,-1,-2,1,-1,-3,-1
1514887917077841,-1,0,-1,0,-1,-1,0,0
1514887917077841,-1,-2,-2,0,-2,-1,-2,-3
1514887917092901,0,-1,-1,0,-1,-1,-3,-1
1514887917092901,0,-2,1,-1,-2,-1,-1,0
1514887917094899,0,0,-2,-1,-2,0,0,-1
1514887917094899,-2,-2,-1,-2,0,-2,1,-2
1514887917114880,-3,-2,-1,0,2,1,0,-1
1514887917114880,-1,-1,-1,-1,-3,0,-1,0
1514887917116864,-1,-2,1,1,1,-1,-2,-2
1514887917116864,2,0,-3,-1,-1,0,-1,1
1514887917128909,-1,0,1,-1,-2,-1,0,-3
1514887917128909,-4,0,-2,0,0,-1,-1,-1
1514887917137876,-1,-2,-2,-3,-4,0,1,-2
1514887917137876,-2,-1,-1,-1,-1,-1,-2,0
1514887917152885,-2,-2,-2,-2,-2,-2,-3,0
1514887917152885,1,-1,-1,1,-1,0,0,0
1514887917154887,-2,-1,1,-1,-3,-1,-1,-1
1514887917154887,-2,-3,0,-1,0,-1,1,-2
1514887917175902,-1,-2,0,0,0,0,0,-4
1514887917175902,-1,-2,-1,-1,-2,-2,-1,-1
1514887917184921,-2,1,-2,-1,1,-2,-1,-1
1514887917184921,-1,-1,-2,-2,0,0,-1,0
1514887917197917,-1,0,-3,-1,-2,-1,-1,2
1514887917197917,0,0,-2,-1,-1,0,-1,-2
1514887917199933,-2,1,-1,0,-3,-1,-1,0
1514887917199933,-2,0,-1,-1,-1,-2,-2,-2
1514887917212942,2,-1,-2,-2,0,1,-1,-2
1514887917212942,0,-2,1,-3,-3,0,-2,-1
1514887917214944,0,-3,-3,-1,-2,0,-1,1
1514887917214944,-1,-2,-1,-1,-1,-2,0,-2
1514887917234945,0,0,-2,-1,0,-1,-1,0
1514887917234945,-1,-1,-1,-1,-1,0,1,-1
1514887917236945,-1,0,-1,-1,0,-1,-3,-1
1514887917236945,1,0,-2,-1,-2,0,-2,0
1514887917257969,-4,-1,0,1,-1,-1,-1,-1
1514887917257969,-3,-1,-1,1,-3,-3,0,0
1514887917259972,-2,-2,0,-2,1,-1,-3,-1
1514887917259972,1,-1,-1,-3,-2,-2,1,-3
1514887917272970,1,-2,0,-2,-2,-3,-2,-4
1514887917272970,1,0,0,-1,-2,-2,-1,1
1514887917274971,-2,-2,0,-1,-1,0,0,0
1514887917274971,0,-1,0,-2,1,-2,-5,0
1514887917295007,-3,-2,-1,0,0,0,0,1
1514887917295007,-1,-1,-3,-2,-1,-1,-1,1
1514887917296988,2,0,-1,-2,-3,-1,-1,-4
1514887917296988,-2,-1,-1,-1,-1,0,-3,-1
1514887917318012,-1,1,-2,-2,-2,-1,-1,-1
1514887917318012,1,-3,-3,0,0,-1,-1,-2
1514887917319003,-2,-1,-2,0,-2,-2,0,-2
1514887917319003,-4,-1,-2,-1,-2,-2,0,-3
1514887917333025,-1,-1,0,-2,-3,-1,-2,0
1514887917333025,1,0,1,-1,-2,0,0,-3
1514887917335014,1,-1,-2,-1,0,-1,-1,-1
1514887917335014,0,-2,-2,-1,0,2,1,0
1514887917355049,-2,-2,-1,-2,0,-4,-2,0
1514887917355049,-3,0,-2,-2,-3,0,2,-3
1514887917357030,1,-1,1,0,0,-1,-1,-2
1514887917357030,-1,-2,-2,-1,0,-2,-2,-1
1514887917378062,-2,-2,-3,-2,0,-1,-1,0
1514887917378062,-1,-2,-2,0,-1,-1,-2,0
1514887917379059,1,1,-2,0,-1,-2,-1,2
1514887917379059,-1,-1,0,-1,-2,-2,-1,-3
1514887917392068,-1,-2,-2,-1,-2,-2,1,-1
1514887917392068,-2,-1,-1,0,1,-1,-1,-2
1514887917399076,-4,0,0,-1,-1,-1,0,-2
1514887917399076,0,-2,0,0,-3,0,-1,0
1514887917415071,-1,1,-3,-2,0,0,-2,-2
