timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1514893823535495,0,3,1,-2,-1,-1,0,0
1514893823535495,-2,-3,-1,-3,-1,-3,-2,0
1514893823536995,-2,-1,-1,-3,-4,-2,-2,1
1514893823536995,0,-2,-3,4,2,-1,-1,-3
1514893823549504,-3,-1,0,2,-1,-2,-1,-1
1514893823549504,0,-1,-4,-3,0,0,-1,0
1514893823558011,1,-3,-4,-5,-1,0,-2,-2
1514893823558011,-1,0,0,0,-2,-1,-2,0
1514893823572518,0,0,-2,-3,-3,0,-2,-3
1514893823572518,1,-1,-3,3,2,-2,0,-1
1514893823574520,0,-2,-2,-3,-3,0,-1,-1
1514893823574520,-1,2,-1,-1,-2,-2,-1,0
1514893823595034,-3,-2,0,-1,0,0,-3,-1
1514893823595034,-1,-1,1,3,-5,-2,-1,-1
1514893823598038,-1,-2,-3,-4,1,0,-1,-1
1514893823598038,-2,0,-2,-4,-2,0,-1,-1
1514893823608543,-1,0,-1,-4,-1,-2,0,0
1514893823608543,-3,-4,-2,-4,-2,-2,-2,-1
1514893823618551,-4,-4,1,4,0,-4,1,-1
1514893823618551,0,7,2,1,-2,-2,-2,0
1514893823633561,-2,2,-2,-1,1,1,-1,-1
1514893823633561,-1,0,-2,0,-1,1,0,0
1514893823637064,-1,0,4,3,-2,-2,1,0
1514893823637064,-2,-1,-2,-5,-1,0,-2,-2
1514893823654076,0,0,0,-2,0,-2,0,0
1514893823654076,-1,-3,0,-5,-2,-2,-1,1
1514893823671088,0,-2,-1,-2,0,0,1,0
1514893823671088,-1,0,-1,3,-1,-1,-1,0
1514893823677593,-2,-2,-3,-1,-1,0,-1,-1
1514893823677593,-1,-1,-4,3,-1,-1,-2,-1
1514893823679094,-2,-2,-3,-6,0,0,0,-1
1514893823679094,-3,-3,2,-8,-3,0,1,2
1514893823692604,0,-1,1,2,2,0,0,-1
1514893823692604,-1,-3,0,-9,-6,-3,-1,-1
1514893823694104,-1,-4,-4,10,2,1,0,-2
1514893823694104,1,4,1,2,-3,-3,-1,-2
1514893823714621,1,-1,-2,-2,-1,0,0,0
1514893823714621,2,-2,1,-2,-4,-3,-2,-1
1514893823723626,-2,-2,-2,2,0,-1,-2,-1
1514893823723626,-1,-1,-2,-3,-1,-2,-1,-1
1514893823737635,-1,0,-1,1,-1,-1,0,-1
1514893823737635,-1,-4,-4,-1,0,-1,0,-1
1514893823739136,-2,0,1,-6,-2,-1,-1,-3
1514893823739136,-3,-3,-3,-2,0,-1,-1,-2
1514893823752646,-2,4,5,0,-1,-2,-3,1
1514893823752646,-1,0,0,-1,0,0,-1,-1
1514893823760150,0,-2,-4,-6,-3,-1,-1,-1
1514893823760150,0,0,2,4,-1,-1,0,0
1514893823775162,-2,-1,-2,-1,0,-3,-1,-2
1514893823775162,-1,-1,1,-1,-1,1,1,-2
