timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1514954572388254,1,0,0,2,-2,-1,-1,1
1514954572388254,-2,-1,1,-2,2,1,-2,3
1514954572389241,2,-2,0,0,0,0,1,1
1514954572389241,-1,-1,1,-3,-2,-1,1,0
1514954572410254,-2,0,-1,-1,-2,0,-4,-2
1514954572410254,-1,2,-1,0,-1,-3,-2,-1
1514954572412256,0,-4,-4,0,1,-1,-2,2
1514954572412256,0,-2,1,-1,-4,0,0,-1
1514954572425274,-1,-2,0,-1,2,0,1,0
1514954572425274,-4,-3,0,0,-1,-2,-1,-4
1514954572427265,2,2,1,-1,-2,1,0,-1
1514954572427265,0,0,1,-4,-4,-2,-3,-2
1514954572447281,-2,0,-1,-2,2,2,-1,1
1514954572447281,2,-2,-1,-1,1,-2,-1,1
1514954572448282,-4,-1,-1,-1,-2,-2,0,-1
1514954572448282,-4,-1,0,-3,-2,-1,1,0
1514954572470297,-2,-3,0,-1,-2,1,0,-3
1514954572470297,1,1,-4,0,-1,0,-3,2
1514954572471298,2,-2,-1,-2,-1,-1,-2,-3
1514954572471298,0,-1,0,1,2,0,-5,1
1514954572484309,0,-2,-3,0,-2,-1,-3,-1
1514954572484309,-1,-4,-2,-1,2,0,3,1
1514954572485310,1,1,-3,-2,-1,-2,1,-3
1514954572485310,3,-1,-1,0,-1,-3,0,-3
1514954572507323,-2,-1,0,-1,0,-1,-3,1
1514954572507323,0,-1,-1,-2,1,1,-3,-1
1514954572507323,-4,0,-1,0,-1,-2,-2,-1
1514954572507323,2,0,-1,-2,-1,0,1,-1
1514954572530340,-1,-2,-1,-3,0,-1,-2,-1
1514954572530340,1,0,-2,1,0,-3,1,1
1514954572531344,-2,-5,1,-2,-1,-1,-2,-1
1514954572531344,-3,1,1,-1,-1,-1,1,-4
1514954572544350,-2,1,-1,-3,-1,-1,0,-2
1514954572544350,2,-2,-3,-3,-1,-2,-2,-5
1514954572545350,-2,-1,-2,-2,-1,1,-5,0
1514954572545350,-1,-2,-1,2,2,-1,-4,0
1514954572567365,4,0,0,1,0,-1,0,-1
